STAT_ID,Latitude,Longitude,k600,pco2,avg_temp_air,kco2,fco2_gm2
300387,57.60697925,16.53876225,6.831310971510142,2865.4,7.13,9.779052571871482,6350.774571671832
300388,57.58968923,12.99117433,6.21837422373126,1287.5,6.05,9.201519496737145,2272.568794299665
300389,57.59230051,14.97840904,7.037285603827051,2032.1,5.62,10.55216974413489,4875.476020534231
300390,57.62179609,12.92403073,11.498369978963538,963.5,6.11,16.983105340271525,2704.3916651618506
300392,57.60624433,12.18085873,9.255705064419484,410.9,7.03,13.290165873363582,109.46542613214584
300394,57.67087074,14.07229709,8.936950196856838,1487.4,5.3,13.533661638311786,4178.859468551936
300397,57.72385347,15.80911698,6.211270207923043,1086.6,6.16,9.159952446322253,1750.3343365755193
300401,57.73241,14.38760614,6.389565072413145,679,5.28,9.682010542012423,822.4675681786041
300402,57.73692209,14.790553,7.355494618887235,1506.4,5.49,11.073638063725546,3495.1232312642305
300403,57.71166363,12.94015064,6.517362949916894,1263.8,5.84,9.706510413988907,2386.407090431612
300405,57.77470887,14.59879491,7.001391819415165,1954.6,5.28,10.60910228413025,4685.763954048559
300408,57.77902242,14.27608348,10.516258736488862,1633.4,5.31,15.920368236909397,5646.552052944459
300409,57.81258872,15.76109462,6.305859631988575,797.3,6.12,9.310896599570624,1068.2339731979887
300412,57.79137307,12.40590502,7.753854213395378,868.8,6.69,11.250223108784624,1472.9879330553943
300413,57.82764471,12.40130101,6.816987682657739,534.3,6.34,9.997742304510718,416.2686196442325
300416,57.87778092,14.1209102,6.20209647551356,2351,5.44,9.35162679738377,5144.174807365688
300417,57.87796044,14.12090179,6.616224092172789,1852.3,5.44,9.976055477714228,4108.399139403635
300419,57.90518635,15.83340909,6.767156235198172,4174.6,6.58,9.851788076248216,9967.02988296252
300420,57.9084188,14.78158982,10.338339312224093,837.7,5.53,15.545087239340145,2063.5545551603986
300421,57.90587559,14.08581205,7.769535968969759,1465.2,5.31,11.762155796597467,3598.2185837152288
300422,57.94152286,14.09883427,7.750064739737947,628.7,5.16,11.787173877415398,837.253094942176
300428,57.99534398,14.43420465,13.204901202777716,617.2,5.4,19.93517596271631,1384.95978973261
300429,58.00748185,14.13311914,9.003221421993196,700.2,5.14,13.701581992219857,1243.0186304643348
300430,58.00748185,14.13311914,9.003221421993196,1138.6,5.14,13.701581992219857,2930.379696488035
300432,57.96410789,12.12699774,6.556999921325318,1194.2,6.81,9.478754902586733,2048.3181400855983
300433,57.97470699,12.42243135,14.75460042362522,1161.5,6.53,21.513086003846794,4532.531137300391
300435,57.98616482,12.1924612,7.075345390554439,1239.3,6.72,10.256322899886138,2349.5698689111637
300436,58.0098991,14.17274938,6.3725094651143905,812.5,5.15,9.695027781119993,1179.4278597198615
300437,58.0162242,14.12329548,7.8601911938085465,678.9,5.05,11.995380915194087,1018.8981886513167
300438,58.02078873,12.94144617,7.164640964409745,1381.7,6.06,10.59847708098567,2892.013640995553
300439,58.05270968,16.65240238,8.289938155769,1870.7,6.98,11.921656939719727,4702.671080525176
300441,58.03879261,13.11010829,6.350519915216246,2009.3,5.77,9.478450136259006,4303.498213164403
300445,58.09178175,15.86319724,8.812812829820118,2495.2,6.13,13.00852746118606,7506.338820488404
300448,58.21398123,15.23356236,7.090718862911828,3143.6,5.88,10.54742138522351,8017.578325797129
300452,58.21894421,14.63441677,6.602931213905432,1392,5.66,9.888663890079869,2828.136455238299
300454,58.24290061,15.02624178,6.80794252888645,1869.6,5.78,10.158043679183603,4208.6570426174185
300459,58.30303546,14.29298099,6.8845519956215675,939.5,5.67,10.307245140396205,1610.1463079714108
300461,58.28295076,12.28719297,26.473305301608008,495.3,4.59,40.97980410588943,1388.3639286455889
300467,58.39833923,12.60763739,6.199999999999999,1280.1,6.29,9.106856120675234,2257.5206757788296
300468,58.34561909,11.91433767,7.939188999105536,1954.5,6.58,11.55806143644893,4849.723142628844
300469,58.36267633,12.39098488,11.595457547032105,509.3,4.57,17.960504406058686,679.4589741205788
300475,58.49626345,13.12289011,6.874096868931339,1295.5,5.88,10.225196869487835,2629.8020237409564
300477,58.54057501,15.04574548,12.58275541534995,446.1,5.77,18.780355210818406,358.4656052770071
300478,58.5385977,14.51422705,6.49151746663491,824.9,5.72,9.703840177823306,1195.8549709911772
300481,58.55674655,13.51300868,6.312481836730512,2399.6,5.84,9.40137462915455,5267.625731397955
300484,58.58736887,15.88634601,6.518655084209023,1855,6.36,9.554336715681284,3830.869478111431
300485,58.63112253,16.12138969,7.413044215300072,576.3,5.95,11.003131467071906,627.6170159317631
300486,58.61497923,16.5271816,6.743832969642462,5154,6.81,9.748839498278386,12343.9316757123
300489,58.64921258,14.37754321,7.62021781271995,1960.9,5.69,11.401617859412847,4969.453128612791
300497,58.71354204,15.58409044,7.078915539414176,2219.5,6.23,10.417046318344322,5177.562025418386
300500,58.66629201,11.75003927,13.70180824425762,1168.1,6.27,20.138247176944287,4289.961866236103
