StreamOrde,percGW_reach_median,percBZ_reach_median,percWC_reach_median
4,0.19068949704204052,0.7623669332600883,0.0015323602424512158
5,0.12047588803410286,0.8309221261511983,0.003985935675553896
6,0.08338398805805415,0.8826966252166528,0.006242249063897257
7,0.043467652733386306,0.9828314219948702,0.009404229281545058
8,0.02886242361347698,0.6965038001123852,0.04936398591546203
1,0.23672346495046276,0.5994147812586641,0.0010297432253725818
2,0.1612151713601344,0.849360088770039,0.0031161342737411916
3,0.1111856336439975,0.9092627361901771,0.007347094505755179
4,0.06487610021421704,0.9466023165239904,0.016842708324904854
5,0.03429669449078634,0.9634716846634915,0.031656810853260386
6,0.020569958350125622,0.8974559712313035,0.07599226393996837
7,0.006991014325371138,1.039947113231944,0.10043993568694229
8,0.011122142575690715,0.6800310078317523,0.7429789561833278
1,0.40507045640819594,0.30567918632089286,3.965007653934648e-5
2,0.32738322692090654,0.5659308504389704,1.4843250098760176e-4
3,0.246315899223385,0.7005213281475884,3.725579182680276e-4
4,0.17804872827049323,0.7612207344445706,9.406893773569679e-4
5,0.10699076378329737,0.8238164153580253,0.002050900835347477
6,0.08093643003035582,0.9432104660098574,0.003861079091292229
7,0.025446570087171112,0.9564031678551717,0.00795652901092173
1,0.21788877831612954,0.6149027343056781,8.635727138140706e-4
2,NA,NA,NA
3,0.12213422664108187,0.9010457836253594,0.006765992412405887
4,0.08707657247643073,0.921918294911272,0.016163154904528593
5,0.061055851507868804,0.8405110614132444,0.038425121150112825
6,0.03391098434935795,0.7896048941029572,0.04586804807086556
7,0.024773940334656047,0.6085547615067491,0.3863321783913837
8,0.015249021556927405,0.6200244666858392,0.5463369472090385
1,NA,NA,NA
2,NA,NA,NA
3,0.31026491792938826,0.5030873070749783,0
4,0.2030919609196084,0.6749226476536407,0
5,0.16025950947536208,0.6461858707609612,0
6,0.07754349593012524,0.900384799435638,0
7,0.05611153613661882,0.9223854660827137,0
8,0.04247298845609806,0.9482591348564385,0
9,0.05776146058778409,0.9392934759685263,0
1,0.3745510223295998,0.36677588302855324,0
2,NA,NA,NA
3,0.25475952929822204,0.7313348202258199,0
4,0.18104206675621726,0.790225141943738,0
5,0.10732713413935924,0.8391608497856919,0
6,0.0730789510685529,0.8021676629831141,0
7,0.05721670927784925,0.7050160700890971,0
8,0.009679961465088139,0.7574643290225596,0
9,0.0111628914521183,0.6783168209738861,0
